Frame,TailAngle,Condition,Fish ID,Trial
28,0.278348708,TRUN,TRUN12,6
29,0.301280673,TRUN,TRUN12,6
30,0.331428483,TRUN,TRUN12,6
31,0.364085968,TRUN,TRUN12,6
32,-0.396457607,TRUN,TRUN12,6
33,0.415118015,TRUN,TRUN12,6
34,0.449852868,TRUN,TRUN12,6
35,0.479860837,TRUN,TRUN12,6
36,0.514387593,TRUN,TRUN12,6
37,0.550721537,TRUN,TRUN12,6
38,0.589496364,TRUN,TRUN12,6
39,0.645160706,TRUN,TRUN12,6
40,0.662140984,TRUN,TRUN12,6
41,0.691319439,TRUN,TRUN12,6
42,0.762194445,TRUN,TRUN12,6
43,0.767262263,TRUN,TRUN12,6
44,0.842757922,TRUN,TRUN12,6
45,0.865673718,TRUN,TRUN12,6
46,0.927350386,TRUN,TRUN12,6
47,0.936418479,TRUN,TRUN12,6
48,1.017463306,TRUN,TRUN12,6
49,1.041013864,TRUN,TRUN12,6
50,1.064493357,TRUN,TRUN12,6
51,1.108271593,TRUN,TRUN12,6
52,1.149906806,TRUN,TRUN12,6
53,1.168911962,TRUN,TRUN12,6
54,1.216123646,TRUN,TRUN12,6
55,1.255046674,TRUN,TRUN12,6
56,1.273594527,TRUN,TRUN12,6
57,1.213535778,TRUN,TRUN12,6
58,1.353291303,TRUN,TRUN12,6
59,1.381646248,TRUN,TRUN12,6
60,1.448035839,TRUN,TRUN12,6
61,1.428712913,TRUN,TRUN12,6
62,1.427885009,TRUN,TRUN12,6
63,1.333200081,TRUN,TRUN12,6
64,1.323077087,TRUN,TRUN12,6
65,1.356622947,TRUN,TRUN12,6
66,1.364498013,TRUN,TRUN12,6
67,1.362367675,TRUN,TRUN12,6
68,1.375957833,TRUN,TRUN12,6
69,1.37566368,TRUN,TRUN12,6
70,1.608918856,TRUN,TRUN12,6
71,1.374176759,TRUN,TRUN12,6
72,1.343247173,TRUN,TRUN12,6
73,1.340980493,TRUN,TRUN12,6
74,1.336506743,TRUN,TRUN12,6
75,1.317694528,TRUN,TRUN12,6
76,1.34294344,TRUN,TRUN12,6
77,1.323531716,TRUN,TRUN12,6
78,1.340841672,TRUN,TRUN12,6
79,1.303060403,TRUN,TRUN12,6
80,1.328316113,TRUN,TRUN12,6
81,1.331584541,TRUN,TRUN12,6
82,1.296964639,TRUN,TRUN12,6
83,1.300067342,TRUN,TRUN12,6
84,1.264207117,TRUN,TRUN12,6
85,1.062419803,TRUN,TRUN12,6
86,1.07750143,TRUN,TRUN12,6
87,1.06513264,TRUN,TRUN12,6
88,1.035760576,TRUN,TRUN12,6
89,1.189965515,TRUN,TRUN12,6
90,1.165876618,TRUN,TRUN12,6
91,1.132878337,TRUN,TRUN12,6
92,1.009353314,TRUN,TRUN12,6
93,1.006750228,TRUN,TRUN12,6
94,1.102245734,TRUN,TRUN12,6
95,0.989940447,TRUN,TRUN12,6
96,1.033786659,TRUN,TRUN12,6
97,1.019226398,TRUN,TRUN12,6
98,0.957153272,TRUN,TRUN12,6
99,0.942721747,TRUN,TRUN12,6
100,0.967769393,TRUN,TRUN12,6
101,0.95347489,TRUN,TRUN12,6
102,0.967492304,TRUN,TRUN12,6
103,0.950188915,TRUN,TRUN12,6
104,0.875337529,TRUN,TRUN12,6
105,0.899709355,TRUN,TRUN12,6
106,0.904643737,TRUN,TRUN12,6
