Frame,TailAngle,Condition,Fish ID,Trial,Percentage,Duration
114,0.849048507,MED,MED1,2,0.77027027,
115,0.807532386,MED,MED1,2,0.777027027,
116,0.788653828,MED,MED1,2,0.783783784,
117,0.759142534,MED,MED1,2,0.790540541,
118,0.738234848,MED,MED1,2,0.797297297,
119,0.706328861,MED,MED1,2,0.804054054,
120,0.492846233,MED,MED1,2,0.810810811,
121,0.682590857,MED,MED1,2,0.817567568,
122,0.644579541,MED,MED1,2,0.824324324,
123,0.417049979,MED,MED1,2,0.831081081,
124,0.401553153,MED,MED1,2,0.837837838,
125,0.286263052,MED,MED1,2,0.844594595,
126,0.250694369,MED,MED1,2,0.851351351,
127,0.539057772,MED,MED1,2,0.858108108,
128,0.499674944,MED,MED1,2,0.864864865,
129,0.497712841,MED,MED1,2,0.871621622,
130,0.481044233,MED,MED1,2,0.878378378,
131,0.497988964,MED,MED1,2,0.885135135,
132,0.495361418,MED,MED1,2,0.891891892,
133,0.45936228,MED,MED1,2,0.898648649,
134,0.651800968,MED,MED1,2,0.905405405,
135,0.669249707,MED,MED1,2,0.912162162,
136,0.672657999,MED,MED1,2,0.918918919,
137,0.675758621,MED,MED1,2,0.925675676,
138,0.679578697,MED,MED1,2,0.932432432,
139,0.684909052,MED,MED1,2,0.939189189,
140,0.168085735,MED,MED1,2,0.945945946,
141,0.164772418,MED,MED1,2,0.952702703,
142,0.204858683,MED,MED1,2,0.959459459,
143,0.175773855,MED,MED1,2,0.966216216,
144,0.18066043,MED,MED1,2,0.972972973,
145,0.182725545,MED,MED1,2,0.97972973,
146,0.220698299,MED,MED1,2,0.986486486,
147,0.226600008,MED,MED1,2,0.993243243,
148,0.226600008,MED,MED1,2,1,
1,-0.104160731,MED,MED1,3,0.00990099,
2,-0.103690579,MED,MED1,3,0.01980198,
3,-0.103847317,MED,MED1,3,0.02970297,
4,-0.105118849,MED,MED1,3,0.03960396,
5,-0.104624744,MED,MED1,3,0.04950495,
6,-0.107586664,MED,MED1,3,0.059405941,
7,-0.10319884,MED,MED1,3,0.069306931,
8,-0.103293953,MED,MED1,3,0.079207921,
9,-0.10464389,MED,MED1,3,0.089108911,
10,-0.103858264,MED,MED1,3,0.099009901,
11,-0.100044925,MED,MED1,3,0.108910891,
12,-0.103470531,MED,MED1,3,0.118811881,
13,-0.104848723,MED,MED1,3,0.128712871,
14,-0.1151351,MED,MED1,3,0.138613861,
15,-0.126132716,MED,MED1,3,0.148514851,
16,-0.141277059,MED,MED1,3,0.158415842,
17,-0.171133179,MED,MED1,3,0.168316832,
18,-0.201302399,MED,MED1,3,0.178217822,
19,-0.24223932,MED,MED1,3,0.188118812,
20,-0.2868319,MED,MED1,3,0.198019802,
21,-0.330927597,MED,MED1,3,0.207920792,
22,-0.378794515,MED,MED1,3,0.217821782,
23,-0.423538045,MED,MED1,3,0.227722772,
24,-0.458765232,MED,MED1,3,0.237623762,
25,-0.503623924,MED,MED1,3,0.247524752,
26,-0.558900146,MED,MED1,3,0.257425743,
27,-0.580168652,MED,MED1,3,0.267326733,
28,-0.605261516,MED,MED1,3,0.277227723,
29,-0.640057816,MED,MED1,3,0.287128713,
30,-0.701516683,MED,MED1,3,0.297029703,
31,-0.721080171,MED,MED1,3,0.306930693,
32,-0.731264053,MED,MED1,3,0.316831683,
33,-0.771892017,MED,MED1,3,0.326732673,
34,-0.808560117,MED,MED1,3,0.336633663,
35,-0.837839285,MED,MED1,3,0.346534653,
36,-0.865444257,MED,MED1,3,0.356435644,
37,-0.894080629,MED,MED1,3,0.366336634,
38,-0.932352024,MED,MED1,3,0.376237624,
39,-0.96626957,MED,MED1,3,0.386138614,
40,-1.012943155,MED,MED1,3,0.396039604,
41,-1.066917398,MED,MED1,3,0.405940594,
42,-0.936596006,MED,MED1,3,0.415841584,
43,-0.958261477,MED,MED1,3,0.425742574,
44,-1.190497535,MED,MED1,3,0.435643564,
45,-1.035211982,MED,MED1,3,0.445544554,
46,-1.15390281,MED,MED1,3,0.455445545,
47,-1.275572914,MED,MED1,3,0.465346535,
48,-1.245940699,MED,MED1,3,0.475247525,
49,-1.258714743,MED,MED1,3,0.485148515,
50,-1.257328995,MED,MED1,3,0.495049505,
51,-1.220457278,MED,MED1,3,0.504950495,
52,-1.249356758,MED,MED1,3,0.514851485,
53,-1.23816674,MED,MED1,3,0.524752475,
54,-1.232330295,MED,MED1,3,0.534653465,
55,-1.304075634,MED,MED1,3,0.544554455,
56,-1.320121749,MED,MED1,3,0.554455446,
57,-1.300056017,MED,MED1,3,0.564356436,
58,-1.272946251,MED,MED1,3,0.574257426,
59,-1.237233052,MED,MED1,3,0.584158416,
60,-1.247077611,MED,MED1,3,0.594059406,
61,-1.277179593,MED,MED1,3,0.603960396,
62,-1.263803677,MED,MED1,3,0.613861386,
63,-1.164046817,MED,MED1,3,0.623762376,
64,-1.043855893,MED,MED1,3,0.633663366,
65,-1.054878939,MED,MED1,3,0.643564356,
66,-1.027460313,MED,MED1,3,0.653465347,
67,-1.008527499,MED,MED1,3,0.663366337,
68,-0.993606986,MED,MED1,3,0.673267327,
69,-0.972124403,MED,MED1,3,0.683168317,
70,-0.923360531,MED,MED1,3,0.693069307,
71,-0.910592146,MED,MED1,3,0.702970297,
72,-0.731882065,MED,MED1,3,0.712871287,
73,-0.70344876,MED,MED1,3,0.722772277,
74,-0.726700953,MED,MED1,3,0.732673267,
75,-0.730180168,MED,MED1,3,0.742574257,
76,-0.69339191,MED,MED1,3,0.752475248,
77,-0.674974604,MED,MED1,3,0.762376238,
78,-0.643272635,MED,MED1,3,0.772277228,
79,-0.617770592,MED,MED1,3,0.782178218,
80,-0.595324256,MED,MED1,3,0.792079208,
81,-0.560263311,MED,MED1,3,0.801980198,
82,-0.539262446,MED,MED1,3,0.811881188,
83,-0.455048225,MED,MED1,3,0.821782178,
84,-0.408341318,MED,MED1,3,0.831683168,
85,-0.380470305,MED,MED1,3,0.841584158,
86,-0.386396385,MED,MED1,3,0.851485149,
87,-0.4403568,MED,MED1,3,0.861386139,
88,-0.331992037,MED,MED1,3,0.871287129,
89,-0.256690091,MED,MED1,3,0.881188119,
90,-0.229619004,MED,MED1,3,0.891089109,
91,-0.259129933,MED,MED1,3,0.900990099,
92,-0.295310076,MED,MED1,3,0.910891089,
93,-0.196034454,MED,MED1,3,0.920792079,
94,-0.180183544,MED,MED1,3,0.930693069,
95,-0.197416091,MED,MED1,3,0.940594059,
96,-0.23668039,MED,MED1,3,0.95049505,
97,-0.240630182,MED,MED1,3,0.96039604,
98,-0.243230559,MED,MED1,3,0.97029703,
99,-0.19312163,MED,MED1,3,0.98019802,
100,-0.229410911,MED,MED1,3,0.99009901,
101,-0.229410911,MED,MED1,3,1,
1,-0.050353505,MED,MED1,4,0.009174312,
2,-0.053347182,MED,MED1,4,0.018348624,
3,-0.048099265,MED,MED1,4,0.027522936,
4,-0.062574371,MED,MED1,4,0.036697248,
5,-0.054644176,MED,MED1,4,0.04587156,
6,-0.054528435,MED,MED1,4,0.055045872,
7,-0.044804798,MED,MED1,4,0.064220183,
8,-0.050286415,MED,MED1,4,0.073394495,
9,-0.048159373,MED,MED1,4,0.082568807,
10,-0.04939975,MED,MED1,4,0.091743119,
11,-0.050200507,MED,MED1,4,0.100917431,
12,-0.064297317,MED,MED1,4,0.110091743,
13,-0.065437781,MED,MED1,4,0.119266055,
14,-0.079287706,MED,MED1,4,0.128440367,
15,-0.082651278,MED,MED1,4,0.137614679,
16,-0.098741869,MED,MED1,4,0.146788991,
17,-0.131484351,MED,MED1,4,0.155963303,
18,-0.165866355,MED,MED1,4,0.165137615,
19,-0.182349743,MED,MED1,4,0.174311927,
20,-0.23280316,MED,MED1,4,0.183486239,
21,-0.308774057,MED,MED1,4,0.19266055,
22,-0.365278933,MED,MED1,4,0.201834862,
23,-0.407693336,MED,MED1,4,0.211009174,
24,-0.46078625,MED,MED1,4,0.220183486,
25,-0.500704033,MED,MED1,4,0.229357798,
26,-0.600108733,MED,MED1,4,0.23853211,
27,-0.610377133,MED,MED1,4,0.247706422,
28,-0.658902347,MED,MED1,4,0.256880734,
29,-0.683974411,MED,MED1,4,0.266055046,
30,-0.727503991,MED,MED1,4,0.275229358,
31,-0.736815512,MED,MED1,4,0.28440367,
32,-0.805347356,MED,MED1,4,0.293577982,
33,-0.81927563,MED,MED1,4,0.302752294,
34,-0.842121056,MED,MED1,4,0.311926606,
35,-0.874671783,MED,MED1,4,0.321100917,
36,-0.875517769,MED,MED1,4,0.330275229,
37,-0.902578427,MED,MED1,4,0.339449541,
38,-0.92548249,MED,MED1,4,0.348623853,
39,-0.941950177,MED,MED1,4,0.357798165,
40,-0.94136137,MED,MED1,4,0.366972477,
41,-0.950585232,MED,MED1,4,0.376146789,
42,-0.9557546,MED,MED1,4,0.385321101,
43,-0.956886105,MED,MED1,4,0.394495413,
44,-0.964570421,MED,MED1,4,0.403669725,
